miRNA,drug
hsa-mir-19b-1,Etoposide
hsa-mir-23b,Etoposide
hsa-mir-26b,Etoposide
hsa-mir-29a,Etoposide
hsa-mir-29b-1,Etoposide
hsa-mir-29c,Etoposide
hsa-mir-30d,Etoposide
hsa-mir-320a,Etoposide
hsa-mir-326,Doxorubicin (Adriamycin)
hsa-mir-326,Etoposide
hsa-mir-429,Etoposide
hsa-mir-7-1,Etoposide
hsa-mir-9-1,Etoposide
hsa-mir-92a-2,Etoposide
hsa-mir-200b,Docetaxel
hsa-mir-27a,5-Fluorouracil
hsa-mir-27a,Cisplatin
hsa-mir-27a,Doxorubicin (Adriamycin)
hsa-mir-27a,Vincristine
hsa-mir-181b-1,Doxorubicin (Adriamycin)
hsa-mir-128-1,Anastrozole
hsa-mir-128-1,Exemestane
hsa-mir-128-1,Letrozole
hsa-mir-128-1,Tamoxifen
hsa-mir-21,Paclitaxel
hsa-mir-10a,Cisplatin
hsa-mir-10b,Cisplatin
hsa-mir-126,Cisplatin
hsa-mir-127,Cisplatin
hsa-mir-132,Cisplatin
hsa-mir-141,Cisplatin
hsa-mir-146a,Cisplatin
hsa-mir-194-1,Cisplatin
hsa-mir-196a-1,Cisplatin
hsa-mir-200b,Cisplatin
hsa-mir-200c,Cisplatin
hsa-mir-205,Cisplatin
hsa-mir-206,Cisplatin
hsa-mir-214,Cisplatin
hsa-mir-221,Cisplatin
hsa-mir-222,Cisplatin
hsa-mir-29a,Cisplatin
hsa-mir-29b-1,Cisplatin
hsa-mir-342,Cisplatin
hsa-mir-345,Cisplatin
hsa-mir-429,Cisplatin
hsa-mir-489,Cisplatin
hsa-mir-7-1,Cisplatin
hsa-mir-100,Sorafenib
hsa-mir-106b,Sorafenib
hsa-mir-126,Sorafenib
hsa-mir-130a,Sorafenib
hsa-mir-130b,Sorafenib
hsa-mir-135a-1,Sorafenib
hsa-mir-136,Sorafenib
hsa-mir-146a,Sorafenib
hsa-mir-146b,Sorafenib
hsa-mir-148b,Sorafenib
hsa-mir-181a-2,Sorafenib
hsa-mir-181b-1,Sorafenib
hsa-mir-192,Sorafenib
hsa-mir-193b,Sorafenib
hsa-mir-196a-1,Sorafenib
hsa-mir-206,Sorafenib
hsa-mir-224,Sorafenib
hsa-mir-345,Sorafenib
hsa-mir-425,Sorafenib
hsa-mir-483,Sorafenib
hsa-mir-548a-1,Sorafenib
hsa-mir-548c,Sorafenib
hsa-mir-551b,Sorafenib
hsa-mir-570,Sorafenib
hsa-mir-585,Sorafenib
hsa-mir-627,Sorafenib
hsa-mir-657,Sorafenib
hsa-mir-660,Sorafenib
hsa-mir-663a,Sorafenib
hsa-mir-668,Sorafenib
hsa-mir-99b,Sorafenib
hsa-mir-21,Paclitaxel
hsa-mir-21,Arsenic Trioxide
hsa-mir-21,Arsenic Trioxide
hsa-mir-181b-1,Cisplatin
hsa-mir-181b-1,Vincristine
hsa-let-7c,Cisplatin
hsa-let-7d,Cisplatin
hsa-let-7e,Cisplatin
hsa-let-7g,Cisplatin
hsa-mir-181d,Cisplatin
hsa-mir-188,Cisplatin
hsa-mir-20b,Cisplatin
hsa-mir-21,Cisplatin
hsa-mir-214,Cisplatin
hsa-mir-23a,Cisplatin
hsa-mir-30d,Cisplatin
hsa-mir-342,Cisplatin
hsa-mir-373,Cisplatin
hsa-mir-432,Cisplatin
hsa-mir-498,Cisplatin
hsa-mir-518c,Cisplatin
hsa-mir-584,Cisplatin
hsa-mir-608,Cisplatin
hsa-mir-628,Cisplatin
hsa-mir-125a,Doxorubicin (Adriamycin)
hsa-mir-127,Doxorubicin (Adriamycin)
hsa-mir-134,Doxorubicin (Adriamycin)
hsa-mir-143,Doxorubicin (Adriamycin)
hsa-mir-145,Doxorubicin (Adriamycin)
hsa-mir-195,Doxorubicin (Adriamycin)
hsa-mir-216a,Doxorubicin (Adriamycin)
hsa-mir-217,Doxorubicin (Adriamycin)
hsa-mir-299,Doxorubicin (Adriamycin)
hsa-mir-324,Doxorubicin (Adriamycin)
hsa-mir-329-1,Doxorubicin (Adriamycin)
hsa-mir-376a-1,Doxorubicin (Adriamycin)
hsa-mir-376c,Doxorubicin (Adriamycin)
hsa-mir-379,Doxorubicin (Adriamycin)
hsa-mir-382,Doxorubicin (Adriamycin)
hsa-mir-409,Doxorubicin (Adriamycin)
hsa-mir-432,Doxorubicin (Adriamycin)
hsa-mir-485,Doxorubicin (Adriamycin)
hsa-mir-487b,Doxorubicin (Adriamycin)
hsa-mir-494,Doxorubicin (Adriamycin)
hsa-mir-495,Doxorubicin (Adriamycin)
hsa-mir-654,Doxorubicin (Adriamycin)
hsa-mir-99b,Doxorubicin (Adriamycin)
hsa-mir-155,Doxorubicin (Adriamycin)
hsa-mir-155,Etoposide
hsa-mir-155,Paclitaxel
hsa-mir-21,Gemcitabine
hsa-mir-212,TRAIL therapy
hsa-mir-200b,Doxorubicin (Adriamycin)
hsa-mir-148a,Paclitaxel
hsa-mir-215,Methotrexate
hsa-mir-215,Raltitrexed
hsa-mir-106b,Temozolomide
hsa-mir-132,Temozolomide
hsa-mir-193a,Temozolomide
hsa-mir-193b,Temozolomide
hsa-mir-195,Temozolomide
hsa-mir-210,Temozolomide
hsa-mir-452,Temozolomide
hsa-mir-455,Temozolomide
hsa-mir-500a,Temozolomide
hsa-mir-502,Temozolomide
hsa-mir-503,Temozolomide
hsa-mir-584,Temozolomide
hsa-mir-100,Paclitaxel
hsa-mir-100,Paclitaxel
hsa-mir-106b,Paclitaxel
hsa-mir-106b,Paclitaxel
hsa-mir-125b-1,Paclitaxel
hsa-mir-140,Paclitaxel
hsa-mir-140,Paclitaxel
hsa-mir-146a,Paclitaxel
hsa-mir-146a,Paclitaxel
hsa-mir-146b,Paclitaxel
hsa-mir-146b,Paclitaxel
hsa-mir-15b,Paclitaxel
hsa-mir-15b,Paclitaxel
hsa-mir-16-1,Paclitaxel
hsa-mir-16-1,Paclitaxel
hsa-mir-17,Paclitaxel
hsa-mir-17,Paclitaxel
hsa-mir-20b,Paclitaxel
hsa-mir-20b,Paclitaxel
hsa-mir-221,Paclitaxel
hsa-mir-221,Paclitaxel
hsa-mir-222,Paclitaxel
hsa-mir-222,Paclitaxel
hsa-mir-27a,Paclitaxel
hsa-mir-27a,Paclitaxel
hsa-mir-29a,Paclitaxel
hsa-mir-29a,Paclitaxel
hsa-mir-29b-1,Paclitaxel
hsa-mir-29b-1,Paclitaxel
hsa-mir-30a,Paclitaxel
hsa-mir-30a,Paclitaxel
hsa-mir-30b,Paclitaxel
hsa-mir-30b,Paclitaxel
hsa-mir-363,Paclitaxel
hsa-mir-363,Paclitaxel
hsa-mir-620,Paclitaxel
hsa-mir-620,Paclitaxel
hsa-mir-21,Gemcitabine
hsa-mir-21,Arsenic Trioxide
hsa-mir-296,5-Fluorouracil
hsa-mir-296,Cisplatin
hsa-mir-296,Doxorubicin (Adriamycin)
hsa-mir-296,Vincristine
hsa-mir-181a-2,Fludarabine
hsa-mir-221,Fludarabine
hsa-mir-29a,Fludarabine
hsa-mir-21,5-Fluorouracil
hsa-mir-21,Gemcitabine
hsa-mir-199a-1,Doxorubicin (Adriamycin)
hsa-mir-92a-2,Carboplatin
hsa-mir-92a-2,Cisplatin
hsa-mir-21,Docetaxel
hsa-mir-27a,Paclitaxel
hsa-mir-186,Cisplatin
hsa-mir-21,Temozolomide
hsa-mir-27a,Paclitaxel
hsa-mir-21,Cytarabine
hsa-mir-186,Cisplatin
hsa-mir-34a,Paclitaxel
hsa-let-7a-1,Imatinib
hsa-let-7b,Imatinib
hsa-let-7d,Imatinib
hsa-let-7i,Imatinib
hsa-mir-1-1,Imatinib
hsa-mir-10a,Imatinib
hsa-mir-128-1,Imatinib
hsa-mir-132,Imatinib
hsa-mir-135b,Imatinib
hsa-mir-140,Imatinib
hsa-mir-148a,Imatinib
hsa-mir-148b,Imatinib
hsa-mir-150,Imatinib
hsa-mir-155,Imatinib
hsa-mir-15a,Imatinib
hsa-mir-181a-2,Imatinib
hsa-mir-181b-1,Imatinib
hsa-mir-181c,Imatinib
hsa-mir-181d,Imatinib
hsa-mir-183,Imatinib
hsa-mir-18b,Imatinib
hsa-mir-196a-1,Imatinib
hsa-mir-21,Imatinib
hsa-mir-210,Imatinib
hsa-mir-212,Imatinib
hsa-mir-27b,Imatinib
hsa-mir-29b-1,Imatinib
hsa-mir-34c,Imatinib
hsa-mir-9-1,Imatinib
hsa-mir-96,Imatinib
hsa-mir-200c,Cetuximab
hsa-mir-200c,Cisplatin
hsa-mir-106b,Cisplatin
hsa-mir-101-1,ABT-263 (navitoclax)
hsa-mir-105-1,ABT-263 (navitoclax)
hsa-mir-1233-1,ABT-263 (navitoclax)
hsa-mir-148b,ABT-263 (navitoclax)
hsa-mir-153-1,ABT-263 (navitoclax)
hsa-mir-193a,ABT-263 (navitoclax)
hsa-mir-218-1,ABT-263 (navitoclax)
hsa-mir-29b-1,ABT-263 (navitoclax)
hsa-mir-29b-2,ABT-263 (navitoclax)
hsa-mir-380,ABT-263 (navitoclax)
hsa-mir-518a-1,ABT-263 (navitoclax)
hsa-mir-582,ABT-263 (navitoclax)
hsa-mir-605,ABT-263 (navitoclax)
hsa-mir-661,ABT-263 (navitoclax)
hsa-mir-744,ABT-263 (navitoclax)
hsa-mir-876,ABT-263 (navitoclax)
hsa-mir-892b,ABT-263 (navitoclax)
hsa-mir-935,ABT-263 (navitoclax)
hsa-mir-212,Cetuximab
hsa-mir-15a,Tamoxifen
hsa-mir-16-1,Tamoxifen
hsa-mir-143,pegIFN/RBV therapy
hsa-mir-143,Ribavirin
hsa-mir-145,pegIFN/RBV therapy
hsa-mir-145,Ribavirin
hsa-mir-18a,pegIFN/RBV therapy
hsa-mir-18a,Ribavirin
hsa-mir-27b,pegIFN/RBV therapy
hsa-mir-27b,Ribavirin
hsa-mir-34b,pegIFN/RBV therapy
hsa-mir-34b,Ribavirin
hsa-mir-378a,pegIFN/RBV therapy
hsa-mir-378a,Ribavirin
hsa-mir-652,pegIFN/RBV therapy
hsa-mir-652,Ribavirin
hsa-mir-21,5-Fluorouracil
hsa-mir-21,Interferon-alpha
hsa-mir-24-1,Docetaxel
hsa-mir-26a-1,Docetaxel
hsa-mir-30d,Docetaxel
hsa-mir-200c,Paclitaxel
hsa-mir-199a-1,Doxorubicin (Adriamycin)
hsa-mir-221,Fulvestrant
hsa-mir-222,Fulvestrant
hsa-mir-34a,5-Fluorouracil
hsa-mir-27a,Doxorubicin (Adriamycin)
hsa-mir-331,Doxorubicin (Adriamycin)
hsa-mir-21,5-Fluorouracil
hsa-mir-200c,5-Fluorouracil
hsa-mir-200c,Cisplatin
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-200c,Paclitaxel
hsa-let-7f-1,Doxorubicin (Adriamycin)
hsa-let-7g,Doxorubicin (Adriamycin)
hsa-mir-155,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-221,Doxorubicin (Adriamycin)
hsa-mir-424,Doxorubicin (Adriamycin)
hsa-mir-451a,Doxorubicin (Adriamycin)
hsa-mir-563,Doxorubicin (Adriamycin)
hsa-mir-98,Doxorubicin (Adriamycin)
hsa-mir-21,SP600125
hsa-mir-342,Tamoxifen
hsa-mir-34a,Cisplatin
hsa-mir-34a,Mitomycin C
hsa-mir-21,Daunorubicin
hsa-mir-182,Olaparib
hsa-mir-143,Docetaxel
hsa-mir-328,Mitoxantrone
hsa-mir-519c,Mitoxantrone
hsa-mir-376c,Cisplatin
hsa-let-7c,Daunorubicin
hsa-let-7c,L-asparaginase
hsa-let-7c,Prednisolone
hsa-let-7c,Vincristine
hsa-mir-100,Daunorubicin
hsa-mir-100,L-asparaginase
hsa-mir-100,Prednisolone
hsa-mir-100,Vincristine
hsa-mir-125b-1,Daunorubicin
hsa-mir-125b-1,Daunorubicin
hsa-mir-125b-1,L-asparaginase
hsa-mir-125b-1,L-asparaginase
hsa-mir-125b-1,Prednisolone
hsa-mir-125b-1,Prednisolone
hsa-mir-125b-1,Vincristine
hsa-mir-125b-1,Vincristine
hsa-mir-126,Daunorubicin
hsa-mir-126,L-asparaginase
hsa-mir-126,Prednisolone
hsa-mir-126,Vincristine
hsa-mir-126,Daunorubicin
hsa-mir-126,L-asparaginase
hsa-mir-126,Prednisolone
hsa-mir-126,Vincristine
hsa-mir-141,Daunorubicin
hsa-mir-141,L-asparaginase
hsa-mir-141,Prednisolone
hsa-mir-141,Vincristine
hsa-mir-199b,Daunorubicin
hsa-mir-199b,L-asparaginase
hsa-mir-199b,Prednisolone
hsa-mir-199b,Vincristine
hsa-mir-200c,Daunorubicin
hsa-mir-200c,L-asparaginase
hsa-mir-200c,Prednisolone
hsa-mir-200c,Vincristine
hsa-mir-203a,Daunorubicin
hsa-mir-203a,L-asparaginase
hsa-mir-203a,Prednisolone
hsa-mir-203a,Vincristine
hsa-mir-335,Daunorubicin
hsa-mir-335,L-asparaginase
hsa-mir-335,Prednisolone
hsa-mir-335,Vincristine
hsa-mir-383,Daunorubicin
hsa-mir-383,L-asparaginase
hsa-mir-383,Prednisolone
hsa-mir-383,Vincristine
hsa-mir-454,Daunorubicin
hsa-mir-454,L-asparaginase
hsa-mir-454,Prednisolone
hsa-mir-454,Vincristine
hsa-mir-625,Daunorubicin
hsa-mir-625,L-asparaginase
hsa-mir-625,Prednisolone
hsa-mir-625,Vincristine
hsa-mir-629,Daunorubicin
hsa-mir-629,L-asparaginase
hsa-mir-629,Prednisolone
hsa-mir-629,Vincristine
hsa-mir-9-1,Daunorubicin
hsa-mir-9-1,L-asparaginase
hsa-mir-9-1,Prednisolone
hsa-mir-9-1,Vincristine
hsa-mir-99a,Daunorubicin
hsa-mir-99a,L-asparaginase
hsa-mir-99a,Prednisolone
hsa-mir-99a,Vincristine
hsa-mir-20a,5-Fluorouracil
hsa-mir-20a,Oxaliplatin
hsa-mir-20a,Teniposide
hsa-mir-148a,5-Fluorouracil
hsa-mir-148a,5-Fluorouracil
hsa-mir-148a,Cisplatin
hsa-mir-148a,Cisplatin
hsa-mir-145,5-Fluorouracil
hsa-mir-145,Cisplatin
hsa-mir-145,Doxorubicin (Adriamycin)
hsa-mir-200c,5-Fluorouracil
hsa-mir-200c,Cisplatin
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-21,5-Fluorouracil
hsa-mir-21,Cisplatin
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-485,Etoposide
hsa-mir-497,Cisplatin
hsa-mir-497,Cisplatin
hsa-mir-497,Vincristine
hsa-mir-497,Vincristine
hsa-mir-153-1,Arsenic Trioxide
hsa-mir-141,Cisplatin
hsa-mir-19a,Cisplatin
hsa-mir-19b-1,Cisplatin
hsa-mir-200a,Cisplatin
hsa-mir-205,Cisplatin
hsa-mir-20a,Cisplatin
hsa-mir-20b,Cisplatin
hsa-mir-21,Cisplatin
hsa-mir-27a,Cisplatin
hsa-mir-193a,Cisplatin
hsa-let-7g,10-Hydroxycamptothecin (HCPT)
hsa-mir-126,10-Hydroxycamptothecin (HCPT)
hsa-mir-132,10-Hydroxycamptothecin (HCPT)
hsa-mir-141,10-Hydroxycamptothecin (HCPT)
hsa-mir-196a-1,10-Hydroxycamptothecin (HCPT)
hsa-mir-196b,10-Hydroxycamptothecin (HCPT)
hsa-mir-19b-1,10-Hydroxycamptothecin (HCPT)
hsa-mir-200a,10-Hydroxycamptothecin (HCPT)
hsa-mir-200b,10-Hydroxycamptothecin (HCPT)
hsa-mir-200c,10-Hydroxycamptothecin (HCPT)
hsa-mir-224,10-Hydroxycamptothecin (HCPT)
hsa-mir-27a,10-Hydroxycamptothecin (HCPT)
hsa-mir-31,10-Hydroxycamptothecin (HCPT)
hsa-mir-338,10-Hydroxycamptothecin (HCPT)
hsa-mir-365a,10-Hydroxycamptothecin (HCPT)
hsa-mir-371a,10-Hydroxycamptothecin (HCPT)
hsa-mir-372,10-Hydroxycamptothecin (HCPT)
hsa-mir-373,10-Hydroxycamptothecin (HCPT)
hsa-mir-424,10-Hydroxycamptothecin (HCPT)
hsa-mir-429,10-Hydroxycamptothecin (HCPT)
hsa-mir-452,10-Hydroxycamptothecin (HCPT)
hsa-mir-7-1,10-Hydroxycamptothecin (HCPT)
hsa-mir-98,10-Hydroxycamptothecin (HCPT)
hsa-mir-99b,10-Hydroxycamptothecin (HCPT)
hsa-mir-451a,Cisplatin
hsa-mir-125a,Gemcitabine
hsa-mir-142,Gemcitabine
hsa-mir-152,Gemcitabine
hsa-mir-181c,Gemcitabine
hsa-mir-204,Gemcitabine
hsa-mir-27a,Gemcitabine
hsa-mir-34a,Gemcitabine
hsa-mir-424,Gemcitabine
hsa-mir-449b,Gemcitabine
hsa-mir-518b,Gemcitabine
hsa-mir-9-1,Gemcitabine
hsa-mir-203a,Paclitaxel
hsa-mir-205,Cisplatin
hsa-mir-205,Docetaxel
hsa-mir-31,Cisplatin
hsa-mir-31,Docetaxel
hsa-mir-21,Gemcitabine
hsa-mir-141,Cisplatin
hsa-mir-125a,Docetaxel
hsa-mir-126,Docetaxel
hsa-mir-126,Docetaxel
hsa-mir-129-1,Docetaxel
hsa-mir-129-1,Docetaxel
hsa-mir-138-1,Docetaxel
hsa-mir-138-1,Docetaxel
hsa-mir-141,Docetaxel
hsa-mir-141,Docetaxel
hsa-mir-149,Docetaxel
hsa-mir-149,Docetaxel
hsa-mir-151a,Docetaxel
hsa-mir-151a,Docetaxel
hsa-mir-16-1,Docetaxel
hsa-mir-16-1,Docetaxel
hsa-mir-190b,Docetaxel
hsa-mir-190b,Docetaxel
hsa-mir-195,Docetaxel
hsa-mir-195,Docetaxel
hsa-mir-203a,Docetaxel
hsa-mir-30a,Docetaxel
hsa-mir-30a,Docetaxel
hsa-mir-30d,Docetaxel
hsa-mir-30d,Docetaxel
hsa-mir-34a,Docetaxel
hsa-mir-34a,Docetaxel
hsa-mir-361,Docetaxel
hsa-mir-361,Docetaxel
hsa-mir-363,Docetaxel
hsa-mir-363,Docetaxel
hsa-mir-429,Docetaxel
hsa-mir-429,Docetaxel
hsa-mir-532,Docetaxel
hsa-mir-532,Docetaxel
hsa-mir-590,Docetaxel
hsa-mir-590,Docetaxel
hsa-mir-7-1,Docetaxel
hsa-mir-7-1,Docetaxel
hsa-mir-17,Selumetinib
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-21,Trastuzumab
hsa-mir-9-1,Carmustine
hsa-mir-100,Docetaxel
hsa-mir-101-1,Docetaxel
hsa-mir-130a,Docetaxel
hsa-mir-181b-1,Docetaxel
hsa-mir-181d,Docetaxel
hsa-mir-195,Docetaxel
hsa-mir-197,Docetaxel
hsa-mir-27a,5-Fluorouracil
hsa-mir-27a,Cisplatin
hsa-mir-27a,Doxorubicin (Adriamycin)
hsa-mir-27a,Vincristine
hsa-mir-100,Cisplatin
hsa-mir-10b,Cisplatin
hsa-mir-10b,Cisplatin
hsa-mir-125b-1,Cisplatin
hsa-mir-125b-1,Cisplatin
hsa-mir-130b,Cisplatin
hsa-mir-145,Cisplatin
hsa-mir-146a,Cisplatin
hsa-mir-146a,Cisplatin
hsa-mir-192,Cisplatin
hsa-mir-193a,Cisplatin
hsa-mir-193b,Cisplatin
hsa-mir-194-1,Cisplatin
hsa-mir-19b-1,Cisplatin
hsa-mir-205,Cisplatin
hsa-mir-205,Cisplatin
hsa-mir-21,Cisplatin
hsa-mir-218-1,Cisplatin
hsa-mir-218-1,Cisplatin
hsa-mir-221,Cisplatin
hsa-mir-296,Cisplatin
hsa-mir-302a,Cisplatin
hsa-mir-302b,Cisplatin
hsa-mir-302b,Cisplatin
hsa-mir-302d,Cisplatin
hsa-mir-335,Cisplatin
hsa-mir-335,Cisplatin
hsa-mir-34a,Cisplatin
hsa-mir-362,Cisplatin
hsa-mir-362,Cisplatin
hsa-mir-363,Cisplatin
hsa-mir-365a,Cisplatin
hsa-mir-371a,Cisplatin
hsa-mir-372,Cisplatin
hsa-mir-373,Cisplatin
hsa-mir-383,Cisplatin
hsa-mir-424,Cisplatin
hsa-mir-450b,Cisplatin
hsa-mir-455,Cisplatin
hsa-mir-484,Cisplatin
hsa-mir-489,Cisplatin
hsa-mir-512-1,Cisplatin
hsa-mir-512-1,Cisplatin
hsa-mir-515-1,Cisplatin
hsa-mir-516b-1,Cisplatin
hsa-mir-517a,Cisplatin
hsa-mir-517b,Cisplatin
hsa-mir-517c,Cisplatin
hsa-mir-518a-1,Cisplatin
hsa-mir-518b,Cisplatin
hsa-mir-518c,Cisplatin
hsa-mir-518d,Cisplatin
hsa-mir-518e,Cisplatin
hsa-mir-518f,Cisplatin
hsa-mir-519a-1,Cisplatin
hsa-mir-519b,Cisplatin
hsa-mir-519c,Cisplatin
hsa-mir-519d,Cisplatin
hsa-mir-520b,Cisplatin
hsa-mir-520c,Cisplatin
hsa-mir-520f,Cisplatin
hsa-mir-520g,Cisplatin
hsa-mir-520h,Cisplatin
hsa-mir-522,Cisplatin
hsa-mir-523,Cisplatin
hsa-mir-524,Cisplatin
hsa-mir-525,Cisplatin
hsa-mir-526a-1,Cisplatin
hsa-mir-526b,Cisplatin
hsa-mir-576,Cisplatin
hsa-mir-582,Cisplatin
hsa-mir-708,Cisplatin
hsa-mir-935,Cisplatin
hsa-mir-99a,Cisplatin
hsa-mir-22,Paclitaxel
hsa-mir-21,Chemotherapy
hsa-mir-10b,Chemotherapy
hsa-mir-451a,Tamoxifen
hsa-mir-21,Cisplatin
hsa-mir-34a,Cisplatin
hsa-mir-130a,TRAIL therapy
hsa-mir-221,TRAIL therapy
hsa-mir-222,TRAIL therapy
hsa-mir-7-1,Gefitinib
hsa-mir-15b,Cisplatin
hsa-mir-200b,Cisplatin
hsa-let-7d,Cisplatin
hsa-let-7d,Paclitaxel
hsa-mir-122,Cisplatin
hsa-mir-122,Doxorubicin (Adriamycin)
hsa-mir-1228,Cisplatin
hsa-mir-1246,Cisplatin
hsa-mir-1470,Cisplatin
hsa-mir-149,Cisplatin
hsa-mir-181a-2,Cisplatin
hsa-mir-1908,Cisplatin
hsa-mir-194-1,Cisplatin
hsa-mir-224,Cisplatin
hsa-mir-27b,Cisplatin
hsa-mir-34a,Cisplatin
hsa-mir-638,Cisplatin
hsa-mir-663a,Cisplatin
hsa-mir-122,Doxorubicin (Adriamycin)
hsa-mir-122,Vincristine
hsa-mir-199a-1,Docetaxel
hsa-mir-32,Cytarabine
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-125b-1,Cisplatin
hsa-let-7b,Tamoxifen
hsa-let-7i,Tamoxifen
hsa-mir-149,Methotrexate
hsa-mir-149,Methotrexate
hsa-mir-193b,Methotrexate
hsa-mir-193b,Methotrexate
hsa-mir-210,Methotrexate
hsa-mir-210,Methotrexate
hsa-mir-224,Methotrexate
hsa-mir-224,Methotrexate
hsa-mir-27b,Methotrexate
hsa-mir-27b,Methotrexate
hsa-mir-320a,Methotrexate
hsa-mir-320a,Methotrexate
hsa-mir-361,Methotrexate
hsa-mir-361,Methotrexate
hsa-mir-365a,Methotrexate
hsa-mir-365a,Methotrexate
hsa-mir-455,Methotrexate
hsa-mir-455,Methotrexate
hsa-mir-615,Methotrexate
hsa-mir-615,Methotrexate
hsa-mir-125b-1,Temozolomide
hsa-mir-125b-1,Doxorubicin (Adriamycin)
hsa-mir-125b-1,Retinoic Acid
hsa-mir-193b,ABT-737
hsa-mir-125b-1,Cisplatin
hsa-mir-125b-1,Doxorubicin (Adriamycin)
hsa-mir-135b,Cisplatin
hsa-mir-135b,Doxorubicin (Adriamycin)
hsa-mir-141,Cisplatin
hsa-mir-141,Doxorubicin (Adriamycin)
hsa-mir-182,Cisplatin
hsa-mir-182,Doxorubicin (Adriamycin)
hsa-mir-183,Cisplatin
hsa-mir-183,Doxorubicin (Adriamycin)
hsa-mir-200b,Cisplatin
hsa-mir-200b,Doxorubicin (Adriamycin)
hsa-mir-210,Cisplatin
hsa-mir-210,Doxorubicin (Adriamycin)
hsa-mir-27b,Cisplatin
hsa-mir-27b,Doxorubicin (Adriamycin)
hsa-mir-30b,Cisplatin
hsa-mir-30b,Doxorubicin (Adriamycin)
hsa-mir-30d,Cisplatin
hsa-mir-30d,Doxorubicin (Adriamycin)
hsa-mir-429,Cisplatin
hsa-mir-429,Doxorubicin (Adriamycin)
hsa-mir-96,Cisplatin
hsa-mir-96,Doxorubicin (Adriamycin)
hsa-let-7g,modified ALLIC BFM 2002 protocol
hsa-mir-130b,modified ALLIC BFM 2002 protocol
hsa-mir-223,modified ALLIC BFM 2002 protocol
hsa-mir-23a,modified ALLIC BFM 2002 protocol
hsa-mir-708,modified ALLIC BFM 2002 protocol
hsa-mir-15a,Dexamethasone
hsa-mir-15a,Melphalan
hsa-mir-16-1,Bortezomib
hsa-let-7c,Cisplatin
hsa-mir-1299,Cisplatin
hsa-mir-193b,Cisplatin
hsa-mir-20b,Cisplatin
hsa-mir-300,Cisplatin
hsa-mir-542,Cisplatin
hsa-mir-625,Cisplatin
hsa-mir-642a,Cisplatin
hsa-mir-195,5-Fluorouracil
hsa-mir-451a,Irinotecan
hsa-mir-128-1,Doxorubicin (Adriamycin)
hsa-mir-100,Tamoxifen
hsa-mir-103a-1,Tamoxifen
hsa-mir-105-1,Tamoxifen
hsa-mir-106a,Tamoxifen
hsa-mir-107,Tamoxifen
hsa-mir-10a,Tamoxifen
hsa-mir-125a,Tamoxifen
hsa-mir-125b-1,Tamoxifen
hsa-mir-126,Tamoxifen
hsa-mir-141,Tamoxifen
hsa-mir-148b,Tamoxifen
hsa-mir-149,Tamoxifen
hsa-mir-151a,Tamoxifen
hsa-mir-17,Tamoxifen
hsa-mir-181a-2,Tamoxifen
hsa-mir-182,Tamoxifen
hsa-mir-183,Tamoxifen
hsa-mir-185,Tamoxifen
hsa-mir-18a,Tamoxifen
hsa-mir-18b,Tamoxifen
hsa-mir-193a,Tamoxifen
hsa-mir-193b,Tamoxifen
hsa-mir-196a-1,Tamoxifen
hsa-mir-196a-1,Tamoxifen
hsa-mir-197,Tamoxifen
hsa-mir-19a,Tamoxifen
hsa-mir-19b-1,Tamoxifen
hsa-mir-200a,Tamoxifen
hsa-mir-200b,Tamoxifen
hsa-mir-200c,Tamoxifen
hsa-mir-20a,Tamoxifen
hsa-mir-20b,Tamoxifen
hsa-mir-21,Tamoxifen
hsa-mir-21,Tamoxifen
hsa-mir-24-1,Tamoxifen
hsa-mir-29b-1,Tamoxifen
hsa-mir-324,Tamoxifen
hsa-mir-331,Tamoxifen
hsa-mir-339,Tamoxifen
hsa-mir-342,Tamoxifen
hsa-mir-345,Tamoxifen
hsa-mir-34a,Tamoxifen
hsa-mir-361,Tamoxifen
hsa-mir-365a,Tamoxifen
hsa-mir-374a,Tamoxifen
hsa-mir-374b,Tamoxifen
hsa-mir-378a,Tamoxifen
hsa-mir-423,Tamoxifen
hsa-mir-425,Tamoxifen
hsa-mir-429,Tamoxifen
hsa-mir-450a-1,Tamoxifen
hsa-mir-489,Tamoxifen
hsa-mir-510,Tamoxifen
hsa-mir-549a,Tamoxifen
hsa-mir-550a-1,Tamoxifen
hsa-mir-615,Tamoxifen
hsa-mir-625,Tamoxifen
hsa-mir-628,Tamoxifen
hsa-mir-665,Tamoxifen
hsa-mir-7-1,Tamoxifen
hsa-mir-744,Tamoxifen
hsa-mir-891a,Tamoxifen
hsa-mir-939,Tamoxifen
hsa-mir-96,Tamoxifen
hsa-mir-99b,Tamoxifen
hsa-mir-99b,Tamoxifen
hsa-mir-34a,Doxorubicin (Adriamycin)
hsa-mir-34a,Vincristine
hsa-mir-146a,Interferon-alpha
hsa-mir-200b,Cisplatin
hsa-mir-200b,Vincristine
hsa-mir-200c,Cisplatin
hsa-mir-200c,Vincristine
